Work Item Type,Title,State,Tags,Description
Product Backlog Item,HU1: Registrar nuevas pacientes en el sistema,New,Prioridad-Alta,"Como recepcionista de la clínica, quiero registrar nuevas pacientes en el sistema, para mantener actualizada la información y agilizar el proceso de atención."
Product Backlog Item,HU2: Programar modificar y cancelar citas médicas,New,Prioridad-Alta,"Como recepcionista de la clínica, quiero programar, modificar y cancelar citas médicas, para organizar la agenda de los especialistas y evitar conflictos de horarios."
Product Backlog Item,HU3: Consultar expediente clínico de una paciente,New,Prioridad-Alta,"Como ginecólogo, quiero consultar el expediente clínico de una paciente, para conocer su historial médico antes de realizar la consulta."
Product Backlog Item,HU4: Registrar diagnósticos tratamientos y observaciones médicas,New,Prioridad-Alta,"Como ginecólogo, quiero registrar diagnósticos, tratamientos y observaciones médicas, para mantener actualizado el historial clínico de cada paciente."
Product Backlog Item,HU5: Administrar usuarios y permisos del sistema,New,Prioridad-Alta,"Como administrador del sistema, quiero administrar los usuarios y sus permisos, para garantizar que cada colaborador tenga acceso únicamente a la información correspondiente a su rol."
Product Backlog Item,HU6: Visualizar reportes e indicadores mediante Tableau,New,Prioridad-Media,"Como administrador, quiero visualizar reportes e indicadores mediante Tableau, para analizar el desempeño de la clínica y apoyar la toma de decisiones."
Product Backlog Item,HU7: Recibir recordatorios de citas,New,Prioridad-Media,"Como paciente, quiero recibir recordatorios de mis citas, para reducir el riesgo de olvidar la fecha y hora de mi consulta."
Product Backlog Item,HU8: Consultar estadísticas sobre citas pacientes y especialidades,New,Prioridad-Media,"Como administrador, quiero consultar estadísticas sobre citas, pacientes y especialidades, para identificar tendencias y mejorar la planificación de los servicios."
Product Backlog Item,HU9: Buscar pacientes registradas mediante sus datos personales,New,Prioridad-Media,"Como recepcionista de la clínica, quiero buscar pacientes registradas mediante sus datos personales, para localizar rápidamente la información necesaria durante la atención."
Product Backlog Item,HU10: Consultar las citas programadas de la agenda,New,Prioridad-Alta,"Como ginecólogo, quiero consultar las citas programadas de mi agenda, para organizar mis consultas y conocer las pacientes pendientes de atención."
Product Backlog Item,HU11: Controlar los permisos asignados a cada usuario,New,Prioridad-Alta,"Como administrador del sistema, quiero controlar los permisos asignados a cada usuario, para proteger la información clínica y garantizar accesos adecuados."
Product Backlog Item,HU12: Visualizar indicadores de atención de la clínica,New,Prioridad-Media,"Como administrador, quiero visualizar indicadores de atención de la clínica, para analizar el comportamiento de las citas y apoyar la toma de decisiones."
Product Backlog Item,HU13: Registrar y actualizar catálogos administrativos vía Power BI/Power Apps,New,Prioridad-Media,"Como administrador, quiero registrar y actualizar catálogos administrativos (especialidades, tratamientos, usuarios) mediante Power BI/Power Apps, para mantener actualizada la información sin necesidad de acceder directamente a la base de datos."
